ID,Working name,Figma hash (first 10),Placements,Used on (page | module | size | fit),Grade (temperature rule),Role,Master min size,Source,Licence,Licence status,Notes / action
IMG-01,"Building A — glass facade, looking up",42bbe2e029,12,"Fixed Income Fund hero 581×581 FILL; Homepage fund card 324×405; all navy level-2 heroes (Our approach, Governance, Team, Insights, Contact, Document library) 444×444",Warm (fund) AND navy (About/Insights/Contact) — conflict,Hero / card,2000×2000 (ellipse crop) + 3:2 landscape master,Unsplash placeholder (kit),Unsplash,Not licensed for launch,"Over-used: one image on 8 pages. Split: keep for AFI (warm grade); source 6 distinct navy-grade replacements for About ×3, Insights, Contact, Document library."
IMG-02,Building B — copper-toned facade,5036fbc9ef,2,Preferred Income Fund hero 581×581 CROP; Homepage fund card 324×405,Warm,Hero / card,2000×2000,Unsplash placeholder (kit),Unsplash,Not licensed for launch,Keep subject; relicense or replace like-for-like.
IMG-03,"Building C — curved steel, blue sky",1f876e8770,3,A− SMA hero 581×581; Wholesale landing card 244×244; Investment Management hero 581×581,Navy,Hero / card,2000×2000,Unsplash placeholder (kit),Unsplash,Not licensed for launch,IM shares A− image — needs its own.
IMG-04,Building D — glass grid,e1aa5ae548,12,BBB SMA hero 581×581; Homepage featured insight 775×436; Wholesale landing card 244×244; Insights featured 775×436; Insights list thumbnails 200×134 ×2,Navy,Hero / card / thumbnail,2000×2000 + 16:9 master,Unsplash placeholder (kit),Unsplash,Not licensed for launch,"Doing three jobs; keep for BBB, replace in Insights."
IMG-05,"Spiral staircase, green centre",15bc38de5b,9,PEP hero 581×581; Homepage insight card 437×246; Wholesale landing card 244×244; Insights list thumbnails ×2,Navy (PEP steel-blue),Hero / card / thumbnail,2000×2000 + 16:9,Unsplash placeholder (kit),Unsplash,Not licensed for launch,Good PEP subject (protection/enclosure). Replace in Insights.
IMG-06,Building E — homepage hero,a9556c0f9f,1,Homepage level-1 hero 581×581,Warm,Hero,2400×2400,Unsplash placeholder (kit),Unsplash,Not licensed for launch,Single most visible image on the site. Priority replacement.
IMG-07,Sydney Opera House sails,2de82c4f4b,4,Homepage About band 664×689; Our approach left-right 664×689; Governance left-right ×2 664×689,Navy,Left-right module image,1400×1400 (portrait crop),Unsplash placeholder (kit),Unsplash,DO NOT SHIP,[Inference] Sydney Opera House Trust restricts commercial use of images of the building. Replace with generic Australian architecture before launch.
IMG-08,Copper curved facade (warm),cf17a5eaa5,7,Homepage insight card 437×246; Insights list thumbnails ×2,Warm,Card / thumbnail,16:9 1600×900,Unsplash placeholder (kit),Unsplash,Not licensed for launch,Warm image inside navy Insights — regrade or replace.
IMG-09,Copper facade close-up (warm),1270d80928,4,Homepage insight card 437×246; Insights list thumbnail,Warm,Card / thumbnail,16:9 1600×900,Unsplash placeholder (kit),Unsplash,Not licensed for launch,As IMG-08.
IMG-10,Team profile placeholder (silhouette),62971a1e97,9,Team page ×8 profile cards 97×97 (one duplicate),Neutral,Headshot,800×800 square,Kit placeholder,n/a,Replace,"8 headshots to commission: Ellis, Saba, McQueen, Parag, Tapp, Strachan, Fong, Ekert. Same photographer, same background, same crop."
IMG-11,Japan skyline (Japan at the Turn),55f61e490d,6,Homepage featured insight 775×436 (desktop) / 358×201 (mobile); Insights hub featured; subscribe modal states,Navy (Insights),Featured insight,16:9 1600×900,Supplied by Jim 10 Sep 2026,Unknown,Confirm,Source file name suggests a market-guide stock image; confirm licence before launch.
LOGO-01,Lonsec logo (transparent),95cadb789e,4,AFI/PIF ratings bar 163×104; Homepage ratings block; Our approach ratings block,Neutral,Third-party logo,Vector (SVG) from Lonsec,Lonsec brand assets,Lonsec citation rules,Confirm,Raster in file; request SVG and usage rules with the rating citation (register Q8).
LOGO-02,Lonsec 'Investment Grade' badge,191862c177,5,AFI/PIF ratings bar 91×92; Homepage; Our approach,Neutral,Rating badge,Vector from Lonsec,Lonsec,Lonsec citation rules,Confirm,"Node is named 'Rating_Highly_Recommended' — check the badge matches the actual rating (Investment Grade), not Highly Recommended."
LOGO-03,FundMonitors.com logo,d74d9f04cf,4,Ratings bars 228×75,Neutral,Third-party logo,Vector,FundMonitors,Permission,Confirm,Raster; confirm rating is current (Q8) and obtain SVG.
LOGO-04,SQM Research logo,e7c5654656,4,Ratings bars 157×69,Neutral,Third-party logo,Vector,SQM Research,Permission,Confirm,Raster; confirm rating is current (Q8) and obtain SVG.
,,,,,,,,,,,
"Yellow cells = to be filled once stock is sourced (source ID, licence type, status). Placements and sizes read from the Figma V1 layouts on 9 Sep 2026; mobile sizes to be added as mobile pages are built.",,,,,,,,,,,
